# Solar Eclipse Obscuration file for 2017-08-21 19:05:00
grid,lat,lon,obsc
AL02,22.5,-179.0,0.0
AL03,23.5,-179.0,0.0
AL04,24.5,-179.0,0.0
AL05,25.5,-179.0,0.0
AL06,26.5,-179.0,0.0
AL07,27.5,-179.0,0.0
AL08,28.5,-179.0,0.0
AL09,29.5,-179.0,0.0
AM00,30.5,-179.0,0.0
AM01,31.5,-179.0,0.0
AM02,32.5,-179.0,0.0
AM03,33.5,-179.0,0.0
AM04,34.5,-179.0,0.0
AM05,35.5,-179.0,0.0
AM06,36.5,-179.0,0.0
AM07,37.5,-179.0,0.0
AM08,38.5,-179.0,0.0
AM09,39.5,-179.0,0.0
AN00,40.5,-179.0,0.0
AN01,41.5,-179.0,0.0
AN02,42.5,-179.0,0.0
AN03,43.5,-179.0,0.0
AN04,44.5,-179.0,0.0
AN05,45.5,-179.0,0.0
AN06,46.5,-179.0,0.0
AN07,47.5,-179.0,0.0
AN08,48.5,-179.0,0.0
AN09,49.5,-179.0,0.0
AO00,50.5,-179.0,0.0
AO01,51.5,-179.0,0.0
AO02,52.5,-179.0,0.0
AO03,53.5,-179.0,0.0
AO04,54.5,-179.0,0.0
AO05,55.5,-179.0,0.0
AO06,56.5,-179.0,0.0
AO07,57.5,-179.0,0.0
AO08,58.5,-179.0,0.0
AO09,59.5,-179.0,0.0
AP00,60.5,-179.0,0.0
AP01,61.5,-179.0,0.0
AP02,62.5,-179.0,0.0
AP03,63.5,-179.0,0.0
AP04,64.5,-179.0,0.0
AP05,65.5,-179.0,0.0
AP06,66.5,-179.0,0.0
AP07,67.5,-179.0,0.0
AP08,68.5,-179.0,0.0
AP09,69.5,-179.0,0.0
AQ00,70.5,-179.0,0.0
AQ01,71.5,-179.0,0.0
AQ02,72.5,-179.0,0.0
AQ03,73.5,-179.0,0.0
AQ04,74.5,-179.0,0.0
AQ05,75.5,-179.0,0.0
AQ06,76.5,-179.0,0.0
AQ07,77.5,-179.0,0.0
AQ08,78.5,-179.0,0.0
AQ09,79.5,-179.0,0.0
AR00,80.5,-179.0,0.0
AR01,81.5,-179.0,0.0
AR02,82.5,-179.0,0.0
AR03,83.5,-179.0,0.0
AR04,84.5,-179.0,0.0
AR05,85.5,-179.0,0.0
AR06,86.5,-179.0,0.0
AR07,87.5,-179.0,0.0
AR08,88.5,-179.0,0.0
AR09,89.5,-179.0,0.0
AA10,-89.5,-177.0,0.0
AA11,-88.5,-177.0,0.0
AA12,-87.5,-177.0,0.0
AA13,-86.5,-177.0,0.0
AA14,-85.5,-177.0,0.0
AA15,-84.5,-177.0,0.0
AA16,-83.5,-177.0,0.0
AA17,-82.5,-177.0,0.0
AA18,-81.5,-177.0,0.0
AA19,-80.5,-177.0,0.0
AB10,-79.5,-177.0,0.0
AB11,-78.5,-177.0,0.0
AB12,-77.5,-177.0,0.0
AB13,-76.5,-177.0,0.0
AB14,-75.5,-177.0,0.0
AB15,-74.5,-177.0,0.0
AB16,-73.5,-177.0,0.0
AB17,-72.5,-177.0,0.0
AB18,-71.5,-177.0,0.0
AB19,-70.5,-177.0,0.0
AC10,-69.5,-177.0,0.0
AC11,-68.5,-177.0,0.0
AC12,-67.5,-177.0,0.0
AC13,-66.5,-177.0,0.0
AC14,-65.5,-177.0,0.0
AC15,-64.5,-177.0,0.0
AC16,-63.5,-177.0,0.0
AC17,-62.5,-177.0,0.0
AC18,-61.5,-177.0,0.0
AC19,-60.5,-177.0,0.0
AD10,-59.5,-177.0,0.0
AD11,-58.5,-177.0,0.0
AD12,-57.5,-177.0,0.0
AD13,-56.5,-177.0,0.0
AD14,-55.5,-177.0,0.0
AD15,-54.5,-177.0,0.0
AD16,-53.5,-177.0,0.0
AD17,-52.5,-177.0,0.0
AD18,-51.5,-177.0,0.0
AD19,-50.5,-177.0,0.0
